Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205,Column206,Column207,Column208,Column209,Column210,Column211,Column212,Column213,Column214,Column215,Column216,Column217,Column218,Column219,Column220,Column221,Column222,Column223,Column224,Column225,Column226,Column227,Column228,Column229,Column230,Column231,Column232,Column233,Column234,Column235,Column236,Column237,Column238,Column239,Column240,Column241,Column242,Column243,Column244,Column245,Column246,Column247,Column248,Column249,Column250,Column251
ciudadano,ganado,próximo,elección,general,metroscopia,sondeo,metroscopia,elaborado,diario,país,ciudadano,ganado,próximo,elección,general,respaldo,"28,3%",electorado,sitúar,punto,distancio,pp,"21,9%",ocupar,posición,psoe,"20,1%",mantener,tercer,puesto,candidato,ganador,albert,rivera,investido,presidente,necesidad,campaña,previo,debat,electoral,sanger,voto,partido,mariano,rajoy,significativo,sondeo,elección,junio,2016,pp,perder,punto,obtener,respaldo,33%,frente,"21,9%",obtener,comicio,metroscopia,expresidente,rajoy,retirar,líneo,partido,avivar,lucha,interno,popular,metroscopia,precisar,asimismo,albert,rivera,reelegir,legislatura,haber,afianzar,recuperación,económico,país,aplacar,tensión,territorial,gracias,presidencia,inés,arrimada,cataluña,siquiera,polémico,llamado,papel,murrieta,caso,corrupción,lograr,empañar,labor,presidente,encuesta,publicado,líder,formación,llamado,ganador,felicitar él,discurso,sede,central,ciudadano,madrid,rivera,comprometido,velar,interés,español,sendar,crecimiento,económico,estandarte,publicación,resultado,próximo,elección,general,abrir,periodo,transición,traspaso,poder,mariano,rajoy,presidente,rivera,prolongar,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rajoy,criticar,intento,puigdemont,presidir,plasma,representante,juntsxcat,erc,pactar,mesa,parlament,seguir,negociar,investidura,carl,puigdemont,presidente,gobierno,españa,mariano,rajoy,asegurado,posibilidad,president,cesado,investido,bélgico,videoconferencio,ocurrencia,absolutamente,ridículo,absolutamente,inaudito,alguien,presidir,plasma,visto,parecido,rendir,cuenta,representante,ciudadan,incapaz,comparecer,persona,escudar él,periodista,oposición,pantalla,exclamado,mariano,rajoy,insistido,catalán,merecer,exigir,hacer,cosa,seriedad,sentido,común,mandatario,censurado,actitud,independentista,comparecencia,emitido,televisor,sala,prenso,sede,pp,calle,génova,madrid,periodista,tomar,nota,declaración,dar,cara,renunciar,representar,sentenciado,rajoy,comunicado,admitir,pregunta,reiterar,investiduro,vía,telemático,disparate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carl,puigdemont,adelantar,gobierno,aplicar,artículo,155,tomar,control,españa,largo,tensa,reunión,conseller,diputados,jxsí,anular,comparecencia,atrasar él,presidente,generalitat,carles,puigdemont,comunicado,finalmente,declaración,oficial,palau,generalitat,cataluña,aplicar,forma,inmediato,artículo,155,constitución,español,tomar,control,institución,recurso,respetar,mandato,ciudadanía,catalán,frente,incapacidad,diálogo,actual,gobierno,anuncio,sorprendido,ejecutivo,mariano,rajoy,preparado,aplicación,artículo,155,aprobación,definitivo,pleno,senado,viernes,adelantado,reconocer,minuto,vicepresidento,soraya,sáenz,santamacer,claramente,confuso,dejar,insistir,señor,puigdemont,vuelto,demostrar,utilizar,legalidad,conviene,aplicado,artículo,españa,procedimiento,paralizar él,maniobra,hora,mariano,rajoy,siquiera,hipotético,convocatoria,elección,general,ley,régimen,electoral,loreg,rajoy,gobierno,destituido,ejecutivo,puigdemont,tomar,rienda,administración,central,president,generalitat,cataluña,españa,cataluñir,palabra,asegurado,mossos,d’esquadra,principal,órgano,policial,preparado,mariano,rajoy,equipo,atrincheran,despacho,destituido,catalan,jo,sóc,exclamado,puigdemont,declaración,dirigir él,español,catalán,call,vivir,momento,confusión,numeroso,español,contrario,proceso,independentista,catalán,debatir,indignación,imposición,govern,estatal,alegría,haber él,librar,gobierno,rajoy,cercado,corrupción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rajoy,volver,ganar,elección,poder,realizar él,recuento,papeleta,resultado,arrogir,urna,vuelve,favorable,mariano,rajoy,consecutivo,informado,comparecencia,realizado,escaso,minuto,tener,gobierno,españa,presidente,gobierno,españa,asumido,responsabilidad,cumplido,obligación,referencia,campaña,electoral,querido,quitar,mérito,tildado,ejemplar,acto,permitido,arrasar,resultado,revalidar,crez,jefatura,prevalecido,democraciar,partido,popular,volver,demostrar,único,vía,politico,declarado,visiblemente,emocionado,minuto,acudir,sede,partido,calle,génova,esperar,celebre,resultado,simpatizante,miembro,partido,salido,reforzado,votación,españa,vuelto,optar,templanza,sentido,común,noticia,presidente,agradecido,apoyo,fisura,ue,comunidad,internacional,psoe,partido,depender,seguir,gobernar,comprometido,contar,fuerza,politica,dialogar,albert,rivera,líder,ciudadano,expresado,voluntad,pactar,mariano,rajoy,pedro,sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inés,arrimada,gobernar,cataluña,noticia,país,ciudadano,asumir,presidencia,cámara,autonómico,catalán,noticia,diario,país,fuerza,votado,elección,21,diciembre,decisión,difundido,mañana,escueta,nota,informativo,prisar,noticia,permitir,inés,arrimada,aparecer,presidenta,cataluña,información,rotativo,pacto,llegar,parlament,tener,formar,govern,cuestión,aritmético,parlamentario,democrático,presidente,parlament,persón,ciudadano,persón,arrimada,argumentar,director,país,antonio,caño,mostrar,portada,ejemplar,cuyo,titular,reza,inés,arrimada,asumir,vítor,presidencia,parlament,diario,comprometer,informar,fuerza,independentista,tratándolos,movimiento,marginal,radicalizado,centrar él,gobierno,arrimada,dejar,atrás,definitivamente,llamado,problema,catalán,finalmente,resolver,legítimo,legalmente,urna,insistir,caño,posibilidad,arrimada,llegar,investido,equipo,país,esgrimir,argumento,forma,unánime,investido,poner,reiterar,director,señalar,ejemplar,diario,declaración,diario,país,inés,arrimada,prometido,gobernar,lector,país,votar,comprometido,trabajar,estrechamente,resto,fuerza,constitucionalista,apoyar,investidura,fisuras,presidenta,parlament,reconocer,periodista,país,recibido,llamado,secretaria,general,partido,socialista,obrero,español,susán,díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denunciar,psicóloga,aconsejar,paciente,centrar,cabeza,votar,ciudadano,diciéndol,importante,consciente,demonio,interior,albert,rivera,político,honesto,país,eva,mugier,psicólogar,45,año,barcelona,prescribir,paciente,votar,ciudadano,aconsejo,mundo,centrar,implicar,confiar,opción,sensato,rivero,defender,doctora,mayoría,paciente,explicar,motivo,infeliz,ocasión,problema,resolver él,votar,ciudadano,explicar,mugier,preferir,optar,método,natural,democrático,solventar,trauma,client,dejar él,idealización,votar,ciudadano,andar,andar,insistir,doctora,explicar,consulta,llegar,gente,cabezo,lleno,pajarito,completamente,desorientado,caso,insistir,votar,ciudadano,esperar,resultado,mayoría,va,necesitar,alguien,decir,cabeza,cabezar,ciudadano,paciente,denunciado,llegar,hablar,madre,único,propósito,aconsejar él,votar,ciudadano,seguir,indicación,doctoro,sesión,terapio,grupo,doscientos,paciente,invitar,inés,arrimada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedro,sánchez,aprovechar,encuentro,rajoy,hacer él,selfi,moncloa,mandárselo,susán,díaz,intención,rabiar,susana,díaz,líder,socialista,reciente,vencedor,primario,partido,pedro,sánchez,aprovechado,visita,oficial,moncloa,hacer él,selfi,posar,residencia,presidencial,informado,fuente,cercano,presidencia,visita,sánchez,objetivo,afrontar,tema,referéndum,catalán,presidente,gobierno,mariano,rajoy,durado,hora,medio,sánchez,usado,hacer él,foto,rajoy,llamar,atención,socialista,cansado,posar,hablar,haber,rajoy,fuente,sánchez,pedido,presidente,grabe,vídeo,grupo,psoe,whatsapp,decir,auténtico,líder,socialismo,saludo,susán,díaz,fan,señor,finalizar,reunión,pedro,sánchez,publicado,perfil,facebook,selfies,mensaje,sufrir,dirigir,psoe,cerca,moncloa,etiquetar,politica,andaluz,asegurar él,ver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedro,sánchez,preguntar,seguir,valer,traje,usar,investiduro,líder,socialista,preguntado,mañana,formar,lucir,traje,llevar,tiempo,tentativo,investiduro,saber,medio,informativo,oh,preguntar,quepar,pedro,pedro,sánchez,mañana,abrir,armario,encontrar,antiguo,traje,investiduro,colgado,percha,guardado,funda,plástico,oh,muchacho,estaba,radiante,traje,tiempo,susurrado,secretario,general,psoe,mirar,traje,lágrima,ojo,sacado,armario,mirado,espejo,sujetar,percha,mano,informado,miembro,entorno,oh,ver,candidato,investidura,señor,ver,susurrado,pedro,sánchez,poder,saber él,guau,estás,pasar,año,cambiar,voz,prenso,contestado,decir,cuido,oh,mira,culín,presidente,hora,diverso,fuente,informado,pedro,sánchez,probado,pantalón,camís,tontear,comprobado,efectivamente,traje,investiduro,quedar,quedar,comprar,joven,febrero,año,sigues ,pedrito,confirmado,pedro,sánchez,guiñar él,ojo,dar él,palmada,vientre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
susana,díaz,regresar,andalucía,decir,ganado,ojo,rojo,lomos,caballo,negro,azabache,susán,díaz,regresado,andalucía,anunciar,victoria,primario,psoe,informado,diverso,medio,andaluz,mil,ciudadano,recibido,vítor,grito,guapo,guapo,díaz,atrevido,bajar,caballo,acrobacia,ejército,majorett,escoltar,discurso,posteriormente,alto,torre,oro,sevilla,díaz,afirmado,contentar,apoyo,incondicional,español,especial,andaluz,advertido,tentáculo,sánchez,controlar,medio,comunicación,tened,cuidado,mentira,lengua,negro,hagáis,caso,oigáis,tele,anunciado,envidia,arte,salero,agregado,justo,interrumpido,aplauso,multitud,díaz,apelar,concepto,actual,posverdad,fake,news,explicar,información,medio,combatir,información,falso,pedido,andaluz,estar,unido,canal,sur,necesitar,mejor,chirigota,sánchez,chirigota,objetivo,honesto,reflejar,sociedad,victoria,primario,psoe,pedido,finalizar,parlamento,podido,díaz,emocionado,asistente,corear,presidenta,presidenta,nota,curioso,jornada,descuido,díaz,micrófono,seguir,encendido,multitud,poder,escuchar él,dirigir él,becario,encargado,abanicar él,poder,cosa,justo,alguien,percatar,apagarar,micrófono,oído,joven,decir,gracia,faraonar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diario,país,añadir,nombre,frase,mierdo,difundir,borrador,ley,rupturo,generalitat,informar,resultado,primario,psoe,publicar,duro,editorial,dedicado,victoria,pedro,sánchez,diario,país,decidido,rendir él,inevitable,añadir,mierda,cabecero,país,mierda,decidido,constatar,nombre,periódico,asegurar,director,rotativo,antonio,caño,renovado,país,mierdar,reforzar,nombre,compromiso,reflejo,realidad,constatar,extraordinario,derivo,politico,momento,posición,diario,favor,susana,díaz,reacción,derrota,creado,revuelo,lector,habitual,comentario,web,diario,demostrar,país,posicionado,favor,candidato,quedar,ideal,antaño,único,ideología,corporación,escribir,lector,igualmente,criticado,viñetar,roto,publicar,especie,señor,garabateado,pelo,amarillo,decir,pedro,sánchez,huevo,va,comer,dibujo,compartido,red,opinar,roto,certero,forges,añadido,viñeta,lema,olvides,patxi,lópez,horo,fuente,mundo,informado,añadir,nombre,diario,expresión,parir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proponer,presentar,moción,censuro,rajoy,esperar,aprobar,error,unido,asegurado,motivo,seguir,moción,censuro,mariano,rajoy,formación,morado,recordar,presidente,votar,ayer,presupuesto,congreso,probabilidad,apoyar,error,moción,censuro,suficientemente,alto,probar,suerte,psoe,debatir,abstención,moción,admitir,anécdota,ayer,clarificar,cosa,altura,confiar,azar,equívoco,cauce,democrático,reconocer,fuente,entorno,socialista,confirmar,apoyo,moción,cao,llevar,cao,echar él,reiterar,unido,incidente,ayer,congreso,preocupar,partido,popular,investigar,detalle,error,mariano,rajoy,comprobar,aclarar,sistema,votación,votar,querer,elegido,diputado,primero,elección,autonómico,gallego,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iglesia,encargo,íñigo,errejón,dirija,junior,asamblea,acordado,íñigo,errejón,dirija,junior,versión,infantil,partido,pablo,iglesia,imponer,ayer,votación,bás,derrota,portavoz,parlamentario,partido,iglesia,tardado,desvelar,futuro,político,asegurado,línea,junior,considerado,lunes,entrevista,radiocable,iglesia,idea,errejón,-que,perder,ayer,listo,dirección-,esencial,izquierdo,infantil,españa,elección,líder,junior,decisión,fácil,perdido,carrera,dirigir,normal,mayor,problema,dirigir,versión,niño,iglesia,número,confío,íñigo,entender,junior,necesitar,dudo,aceptar,cargo,insistido,encontrar,parlamento,león,portar,gato,pokémon,errejón,problema,seguir,nanodiputado,repetido,líder,risa,hora,errejón,visto,obligado,acudir,rueda,prensa,niño,periodista,convocado,iglesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sondeo,electoral,seguir,confirmar,sorpasso,elección,sondeo,difundido,sigma,mañana,haber él,celebrar,elección,general,apuntar,psoe,dejar,fuerza,españa,pp,obtener,"30,4%",voto,121,124,escaño,posición,unido,obtener,"24,8%",voto,87,89,escaño,psoe,cumplirir,malo,pronóstico,socialista,quedar,partido,pablo,iglesia,porcentaje,voto,escaño,ciudadano,sufrir,fuerte,pérdida,escaño,obtener,"13,2%",voto,29,32,escaño,sigma,dato,parecido,encuesta,cis,gad3,nc,report,confirmar,sorpasso,coincidir,intención,voto,españa,nulo,fiar él,encuesta,indicar,estar,posición,ofrecer,psoe,tipo,alianza,posición,superioridad,declarado,pablo,iglesia,horo,sondeo,respiro,formación,preocupado,resultado,domingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guindo,pedir,español,rescatir,banco,central,europeo,intención,empezar,labor,bce,aportar,entidad,inyección,100000,millón,euros,apoyo,español,luis,guindo,brusela,eurogrupo,confirmar,apoyo,vicepresidente,banco,central,europeo,institución,económico,poderoso,unión,europeo,guindo,propuesto,empezar,pie,gesto,impresionir,socio,europa,reconocido,dinero,tipo,condición,macroeconómico,fiscal,aclarado,ministro,economía,recordar,año,españa,posición,destacado,puesto,relumbrón,institución,internacional,europeo,convenir,aprovechar,nombramiento,golpe,efecto,insistir,españa,salido,crisis,permitir,reitera,pedir,pedido,llegar,bce,rescate,brazo,transmitir,idea,dinero,problema,reforzar,papel,vicepresidente,español,socio,confianza,comentado,realidad,inversión,llegado,argumentar,presidente,mario,draghi,finalmente,aceptar,donación,condición,favorable,entidad,europeo,necesitar,recapitalicir,guindo,españa,papel,europa,deber,insistente,pregunta,dimitir,función,ministro,luis,guindo,señalado,repetido,enseñar,dimitido,conocer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comisión,europea,duplico,previsión,crecimiento,económico,teresa,gonzález,terrassa,1%,año,inicio,diverso,oleada,recorte,reforma,déficit,público,español,7%,pib,comisión,europea,vislumbra,tenue,mejoría,economía,teresa,gonzález,terrassa,augurar,crecimiento,1%,año,doble,previsto,"1,7%",2015,confiar,toño,marido,consiga,trabajo,medio,jornada,tirar,reactivación,firme,reequilibrio,casa,teresa,continúar,pese,agujero,invierno,incidente,calefacción,pese,boda,verano,prima,olgo,ester,hermán,toño,afirmado,olli,rehn,comisario,organismo,modos,querido,revisar,previsión,teresar,convencido,cosa,miedo,merecer,chico,teresa,hacer yo,caso,nena,insistido,rehn,rodar,prensa,mañana,verá,cariño,llor,añadido,pese,optimismo,inicial,inflación,seguir,torno,1%,2014,"1,3%",2015,lejos,mandato,bce,rehn,querido,trasladar,teresa,gonzález,terrassa,saber,haga,caso,oy,escúchamir,repetir,merez,pese,deuda,público,privado,amenaza,crisis,japonés,renquear,mercado,peligroso,dificultar,ajuste,periferia,grave,problema,sostenibilidad,deudo,teresa,gonzález,terrassa,cosa,sonreír,tocar,mañana,medio,reseñar,comité,formado,premio,nobel,economía,trasladar,teresa,dios,aprieto,ahogar,mujer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presidente,banco,central,europeo,preguntar,hablar,puto,dinero,mario,draghi,presidente,banco,central,europeo,bce,recordar,ayer,entrevista,cadena,público,alemán,zdf,cosa,aparte,maldito,dinero,declarar,cojón,preguntar,puta,economía,querer,ocultar,hartazgo,draghi,enseñar,cámara,pantalla,teléfono,móvil,mostrar,fotografía,niña,sobrín,antonella,mírenla,hablaré,noche,exclamar,presidente,autoridad,monetario,europeo,declarar,enamorado,vida,europa,continente,lleno,bello,flor,paisaj,moneda,euro,enterar,draghi,recalcar,bce,banco,fábrica,sueños,ilusión,lamentar,obsesión,crisis,zón,euro,olvidar,riqueza,emán,sonrisa,niño,discurso,italiano,arrancar,aplauso,auditorio,draghi,pedir,presente,perder,tiempo,aplaudir él,salir,calle,reír,amar,recuperar,contacto,emoción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bce,culpa,crisis,gráfico,curvo,descendente,mario,draghi,presidente,banco,central,europeo,bce,enviado,comunicado,director,gerente,fondo,monetario,internacional,fmi,christinar,lagarde,comisario,economía,unión,europea,ue,olli,rehn,homólogo,europeo,subrayar,necesidad,frente,gráfico,incluir,curva,rojo,descendente,reciente,informe,encargado,consejo,general,bce,relacionar,proliferación,tipo,gráfico,estadístico,avance,crisis,económico,curvo,rojo,abajo,tabla,barra,color,pequeño,quesito,porción,estrecho,empresa,entidad,bancario,institución,gobierno,problema,financiero,sentenciar,draghi,infor yo,sustento,tesis,precisamente,numeroso,gráfico,curvo,confirmar,aumento,gráfico,curvo,abajo,frecuente,verde,contraste,época,situación,inverso,economía,presencia,programa,informático,power,point,ámbito,doméstico,haber,facilitar,impacto,crisis,pequeño,mediano,empresa,cualquiera,gráfico,rojo,lleve,quiebra,alertar,bce,comunicado,presidente,bce,apuntar,medida,urgente,aplicación,inmediato,atajar,nefasto,influencia,gráfico,profundizar,análisis,fenómeno,dicho,medida,necesidad,dejar,hablar,número,rojo,número,color,detectado,alusión,rojo,situación,derivado,crisis,prohíbir,presentación,incluir,gráfico,curva,descendente,instar,responsable,gobierno,banco,empresa,localizar,informe,interno,estadístico,curvo,abajo,destruirlas,girarla,180,grado,cambiar,verde,rojo,caso,programa,elaborado,permitir,gráfico,impreso,editar,urge,quemarlo,triturarlo,completo,aniquilación,curvo,descendente,actúar,virus,informe,presentado,consejo,general,bce,monitorizado,envío,correo,electrónico,mil,gráfico,curva,descendente,carácter,global,crisis,raíz,envío,gráfico,curva,rojo,país,controles,tipo,gráfico,descendente,campado,anchas,nido,empresa,territorio,visto,ingreso,decrecir,ritmo,marcado,curva,explicado,mario,draghi,bce,recomendar,ignorar,gráfico,estadístico,estar,alertar,autoridad,recibir,documento,curva,descendente,,,,,,,,,,,,,,,,
bce,volver,bajar,tipo,interés,visto,reacción,peño,twitter,idea,impulsar,ralentizado,economía,europeo,banco,central,europeo,bce,bajar,ayer,tipo,interés,25,punto,básico,"0,75%","0,5%",nivel,historio,euro,estrategiar,bce,reportado,mil,retweets,decisión,comunicado,bratislava,presidente,entidad,mario,draghi,provocar,revuelo,mercado,red,social,mil,retweets,minutos,público,apuntar,draghi,ayer,despegar él,blackberry,haber,ver,followers,petar,joder,compañero,acogida,twitter,rebajar,tipo,interés,llevado,bce,repetir,jugado,mañana,mario,draghi,vuelto,comparecer,anunciar,tipo,rebajar,nuevamente,llegar,0’2%,quedado,mirar,pantalla,blackberry,refrescar,compulsivamente,aplicación,twitter,ver,cuatrociento,retweet,subir,acabo,publicar,habéis,visto,hostia,disimular,entusiasmo,mirar,reojo,blackberry,presidente,bce,asegurado,periodista,tipo,interés,bajo,implicar,seguidor,twitter,seguidor,implicar,cohesión,fortaleza,europa,dejo,facebook,on,fire,concluido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
error,administrativo,manda,luis,guindo,eurovisión,amaia,banco,central,europeo,prisas,llevado,gobierno,anunciar,miércoles,españa,presentar,luis,guindo,candidato,eurovisión,precisar,ministro,interpretar,tema,canción,12,mayo,lisboa,ejecutivo,aclarado,durar,carrera,puesto,certamen,guindo,abandonar,cargo,frente,ministerio,economía,español,paralelamente,hora,anuncio,gobierno,comunicado,concursante,operación,triunfo,amaia,optar,puesto,vicepresidenta,banco,central,europeo,bce,quedar,vacante,31,mayo,artista,nacido,pamplona,competir,irlandés,philip,lane,gobernador,banco,central,país,poseedor,currículo,académico,brillante,amaia,calidad,vocal,referir,ejecutivo,aclarado,durar,carrera,convertir él,lugarteniente,mario,draghi,amaia,abandonar,programa,televisión,español,optimista,escenario,contemplo,españa,conseguir,puesto,declarado,luis,guindo,amaia,romero,convencido,posibilidad,recabado,importante,apoyo,posibilidad,claro,draghi,papel,consultivo,asunto,atesorar,capital,político,ue,decantar,lane,bloquear,nombramiento,amaia,elegido,fuente,consultado,ejecutivo,rajoy,diferenciar,candidato,año,guindo,sólido,embajador,economía,español,mercado,internacional,modernizador,estructura,económico,año,demostrar,ministro,llegar,alto,eurovisión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gobierno,confirmar,crisis,español,volver,vivir,posibilidad,ministro,economía,luis,guindo,afirmado,mañana,encontrar,empresario,economía,español,momento,crecimiento,inicio,crisis,producto,interior,bruto,pib,registrar,acelerón,económico,español,vuelto,vivir,posibilidad,retomar,ayuda,crédito,bancario,carrero,progresivo,endeudamiento,contexto,permitir,gobierno,zanjado,duro,etapa,crisis,económico,superado,periodo,caja,ahorro,lanzado,competir,cuota,mercado,laxa,supervisión,autoridad,monetario,atisba,burbuja,inmobiliario,retomado,brío,antaño,palabra,guindo,reto,sociedad,español,titular,economía,dejar,atrás,parálisis,arrastrar,tanto,año,recesión,lanzarno,comprar,vivienda,aprovechar,constructora,sembrar,terreno,propicio,especulación,endeudamiento,guindo,confirmar,salud,economía,palpable,gente,empezar,consumir,aumentar,nivel,vida,adquisitivo,real,generar,sensación,riqueza,bienestar,fundamental,proyectar,imagen,economía,fuerte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
